sub,fb_condition,efficacy,rt,cor
1a,positivefb,eff,473,0
1a,positivefb,noneff,573,0
1a,positivefb,noneff,336,1
1a,positivefb,eff,401,0
1a,positivefb,eff,404,1
1a,positivefb,eff,349,1
1a,positivefb,eff,439,1
1a,positivefb,eff,521,1
1a,positivefb,eff,555,1
1a,positivefb,eff,594,1
1a,positivefb,noneff,358,0
1a,positivefb,noneff,811,1
1a,positivefb,eff,299,0
1a,positivefb,noneff,378,0
1a,positivefb,noneff,387,0
1a,positivefb,noneff,437,1
1a,positivefb,eff,453,1
1a,positivefb,noneff,534,1
1a,positivefb,eff,284,1
1a,positivefb,eff,583,0
1a,positivefb,eff,905,1
1a,positivefb,eff,855,0
1a,positivefb,noneff,405,1
1a,positivefb,noneff,498,1
1a,positivefb,eff,291,0
1a,positivefb,noneff,334,0
1a,positivefb,eff,329,0
1a,positivefb,noneff,375,1
1a,positivefb,noneff,1295,1
1a,positivefb,eff,515,0
1a,positivefb,eff,600,1
1a,positivefb,eff,307,1
1a,positivefb,eff,308,1
1a,positivefb,noneff,607,0
1a,positivefb,eff,290,0
1a,positivefb,noneff,468,1
1a,positivefb,noneff,405,0
1a,positivefb,eff,1042,1
1a,positivefb,noneff,406,0
1a,positivefb,noneff,429,0
1a,positivefb,noneff,353,0
1a,positivefb,noneff,519,1
1a,positivefb,noneff,903,0
1a,positivefb,eff,469,0
1a,positivefb,noneff,565,1
1a,positivefb,noneff,756,1
1a,positivefb,eff,323,1
1a,positivefb,noneff,318,1
1a,positivefb,eff,450,0
1a,positivefb,noneff,576,0
1a,positivefb,noneff,354,1
1a,positivefb,eff,402,1
1a,positivefb,noneff,791,1
1a,positivefb,eff,473,0
1a,positivefb,eff,639,0
1a,positivefb,noneff,607,1
1a,positivefb,noneff,647,0
1a,positivefb,eff,503,1
1a,positivefb,noneff,540,1
1a,positivefb,noneff,566,1
1a,positivefb,eff,531,1
1a,positivefb,eff,762,0
1a,positivefb,noneff,632,1
1a,positivefb,eff,459,0
1a,positivefb,noneff,587,1
1a,positivefb,noneff,517,0
1a,positivefb,eff,387,0
1a,positivefb,eff,320,1
1a,positivefb,noneff,388,1
1a,positivefb,noneff,650,1
1a,positivefb,noneff,450,1
1a,positivefb,noneff,389,1
1a,positivefb,eff,420,1
1a,positivefb,noneff,419,1
1a,positivefb,noneff,524,0
1a,positivefb,eff,473,0
1a,positivefb,eff,595,1
1a,positivefb,eff,528,1
1a,positivefb,eff,596,1
1a,positivefb,noneff,471,1
1a,positivefb,eff,478,0
1a,positivefb,noneff,471,1
1a,positivefb,eff,414,1
1a,positivefb,noneff,287,1
1a,positivefb,noneff,479,1
1a,positivefb,eff,395,0
1a,positivefb,noneff,500,1
1a,positivefb,noneff,348,1
1a,positivefb,eff,467,0
1a,positivefb,eff,373,1
1a,positivefb,noneff,509,1
1a,positivefb,noneff,445,1
1a,positivefb,noneff,470,1
1a,positivefb,eff,747,1
1a,positivefb,eff,1212,1
1a,positivefb,eff,953,1
1a,positivefb,eff,422,1
1a,positivefb,eff,679,1
1a,positivefb,noneff,434,1
1a,positivefb,eff,311,1
1a,positivefb,noneff,926,0
1a,positivefb,eff,348,1
1a,positivefb,eff,272,1
1a,positivefb,eff,313,1
1a,positivefb,eff,315,0
1a,positivefb,noneff,371,0
1a,positivefb,noneff,245,1
1a,positivefb,noneff,388,0
1a,positivefb,eff,336,0
1a,positivefb,noneff,387,1
1a,positivefb,noneff,460,1
1a,positivefb,eff,442,0
1a,positivefb,eff,395,1
1a,positivefb,noneff,393,0
1a,positivefb,eff,496,1
1a,positivefb,eff,484,0
1a,positivefb,eff,354,1
1a,positivefb,eff,498,1
1a,positivefb,eff,406,1
1a,positivefb,noneff,319,0
1a,positivefb,noneff,363,0
1a,positivefb,noneff,369,1
1a,positivefb,noneff,345,0
1a,positivefb,noneff,768,0
1a,positivefb,noneff,352,0
1a,positivefb,eff,487,1
1a,positivefb,noneff,376,1
1a,positivefb,eff,499,1
1a,positivefb,eff,345,0
1a,positivefb,eff,388,1
1a,positivefb,noneff,388,1
1a,positivefb,noneff,504,0
1a,positivefb,noneff,388,1
1a,positivefb,eff,351,1
1a,positivefb,eff,307,0
1a,positivefb,noneff,381,1
1a,positivefb,noneff,412,0
1a,positivefb,eff,361,1
1a,positivefb,eff,615,0
1a,positivefb,noneff,358,0
1a,positivefb,eff,395,0
1a,positivefb,noneff,345,0
1a,positivefb,noneff,496,1
1a,positivefb,noneff,285,0
1a,positivefb,eff,303,0
1a,positivefb,noneff,358,1
1a,positivefb,eff,323,0
1a,positivefb,eff,324,1
1a,positivefb,noneff,348,1
1a,positivefb,eff,292,1
1a,negativefb,eff,506,1
1a,negativefb,eff,644,1
1a,negativefb,eff,371,0
1a,negativefb,eff,479,1
1a,negativefb,noneff,480,1
1a,negativefb,noneff,542,0
1a,negativefb,eff,692,1
1a,negativefb,noneff,776,0
1a,negativefb,eff,655,1
1a,negativefb,noneff,579,1
1a,negativefb,eff,691,1
1a,negativefb,eff,589,1
1a,negativefb,noneff,612,1
1a,negativefb,eff,588,1
1a,negativefb,eff,596,0
1a,negativefb,noneff,930,0
1a,negativefb,noneff,485,1
1a,negativefb,noneff,722,0
1a,negativefb,noneff,539,1
1a,negativefb,noneff,892,1
1a,negativefb,eff,791,1
1a,negativefb,noneff,856,1
1a,negativefb,noneff,656,0
1a,negativefb,noneff,583,1
1a,negativefb,eff,758,1
1a,negativefb,noneff,667,1
1a,negativefb,eff,664,1
1a,negativefb,eff,713,1
1a,negativefb,noneff,701,1
1a,negativefb,eff,707,1
1a,negativefb,noneff,666,1
1a,negativefb,eff,539,0
1a,negativefb,eff,535,1
1a,negativefb,noneff,729,0
1a,negativefb,eff,927,1
1a,negativefb,noneff,906,1
1a,negativefb,noneff,712,1
1a,negativefb,eff,641,1
1a,negativefb,eff,654,1
1a,negativefb,noneff,915,0
1a,negativefb,eff,598,1
1a,negativefb,noneff,603,0
1a,negativefb,noneff,567,1
1a,negativefb,eff,588,1
1a,negativefb,noneff,1001,0
1a,negativefb,eff,681,0
1a,negativefb,noneff,743,0
1a,negativefb,eff,756,0
1a,negativefb,noneff,792,1
1a,negativefb,eff,1425,1
1a,negativefb,noneff,768,1
1a,negativefb,noneff,675,0
1a,negativefb,noneff,621,1
1a,negativefb,noneff,778,1
1a,negativefb,noneff,980,1
1a,negativefb,noneff,718,1
1a,negativefb,eff,1180,1
1a,negativefb,noneff,657,1
1a,negativefb,eff,1636,1
1a,negativefb,eff,656,1
1a,negativefb,noneff,649,1
1a,negativefb,eff,683,1
1a,negativefb,noneff,690,1
1a,negativefb,noneff,358,1
1a,negativefb,noneff,643,1
1a,negativefb,eff,693,1
1a,negativefb,eff,613,0
1a,negativefb,eff,499,0
1a,negativefb,eff,458,0
1a,negativefb,eff,822,0
1a,negativefb,eff,587,1
1a,negativefb,noneff,1291,0
1a,negativefb,eff,523,1
1a,negativefb,noneff,731,0
1a,negativefb,eff,481,1
1a,negativefb,eff,727,1
1a,negativefb,noneff,694,1
1a,negativefb,noneff,612,1
1a,negativefb,eff,565,1
1a,negativefb,noneff,746,1
1a,negativefb,eff,486,1
1a,negativefb,eff,499,1
1a,negativefb,noneff,568,1
1a,negativefb,eff,794,1
1a,negativefb,noneff,889,1
1a,negativefb,eff,723,1
1a,negativefb,eff,688,1
1a,negativefb,noneff,639,1
1a,negativefb,eff,1280,0
1a,negativefb,noneff,782,1
1a,negativefb,noneff,657,1
1a,negativefb,noneff,643,1
1a,negativefb,noneff,568,1
1a,negativefb,eff,894,1
1a,negativefb,eff,616,1
1a,negativefb,noneff,643,1
1a,negativefb,eff,708,1
1a,negativefb,noneff,652,1
1a,negativefb,eff,705,1
1a,negativefb,noneff,534,1
1a,negativefb,eff,518,0
1a,negativefb,noneff,540,1
1a,negativefb,noneff,662,1
1a,negativefb,noneff,575,1
1a,negativefb,noneff,636,1
1a,negativefb,eff,551,1
1a,negativefb,eff,700,1
1a,negativefb,eff,607,1
1a,negativefb,eff,568,1
1a,negativefb,eff,616,1
1a,negativefb,noneff,726,1
1a,negativefb,eff,635,0
1a,negativefb,noneff,612,1
1a,negativefb,eff,747,0
1a,negativefb,eff,616,1
1a,negativefb,noneff,687,1
1a,negativefb,noneff,774,0
1a,negativefb,noneff,676,1
1a,negativefb,eff,546,1
1a,negativefb,noneff,1225,0
1a,negativefb,eff,552,1
1a,negativefb,eff,833,1
1a,negativefb,eff,664,0
1a,negativefb,noneff,1010,0
1a,negativefb,eff,879,1
1a,negativefb,noneff,826,1
1a,negativefb,noneff,1273,1
1a,negativefb,eff,729,1
1a,negativefb,eff,803,1
1a,negativefb,eff,799,1
1a,negativefb,noneff,622,0
1a,negativefb,noneff,647,1
1a,negativefb,noneff,676,1
1a,negativefb,noneff,699,1
1a,negativefb,noneff,661,1
1a,negativefb,noneff,584,0
1a,negativefb,eff,725,1
1a,negativefb,eff,929,1
1a,negativefb,noneff,912,0
1a,negativefb,noneff,746,1
